"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","2011","2011","Firearm","785","4798649","16.36","15.9901713182765"
"Both Sexes","All Races","Alaska","Both","All Ages","2011","2011","Firearm","126","722259","17.45","17.0128683992078"
"Both Sexes","All Races","Arizona","Both","All Ages","2011","2011","Firearm","964","6465488","14.91","14.7003816168597"
"Both Sexes","All Races","Arkansas","Both","All Ages","2011","2011","Firearm","462","2938640","15.72","16.0121893030251"
"Both Sexes","All Races","California","Both","All Ages","2011","2011","Firearm","3004","37672654","7.97","7.76274580703066"
"Both Sexes","All Races","Colorado","Both","All Ages","2011","2011","Firearm","573","5116411","11.2","10.9205741074033"
"Both Sexes","All Races","Connecticut","Both","All Ages","2011","2011","Firearm","210","3591927","5.85","5.82791603878998"
"Both Sexes","All Races","Delaware","Both","All Ages","2011","2011","Firearm","77","907884","8.48","8.12207194874169"
"Both Sexes","All Races","District of Columbia","Both","All Ages","2011","2011","Firearm","86","620336","13.86","11.682195029799"
"Both Sexes","All Races","Florida","Both","All Ages","2011","2011","Firearm","2378","19097369","12.45","11.8774334182608"
"Both Sexes","All Races","Georgia","Both","All Ages","2011","2011","Firearm","1232","9810595","12.56","12.5306423252782"
"Both Sexes","All Races","Hawaii","Both","All Ages","2011","2011","Firearm","49","1378323","3.56","3.41970634116725"
"Both Sexes","All Races","Idaho","Both","All Ages","2011","2011","Firearm","192","1583180","12.13","12.3330833490377"
"Both Sexes","All Races","Illinois","Both","All Ages","2011","2011","Firearm","1114","12862298","8.66","8.54281729877674"
"Both Sexes","All Races","Indiana","Both","All Ages","2011","2011","Firearm","638","6515358","9.79","9.70155866729887"
"Both Sexes","All Races","Iowa","Both","All Ages","2011","2011","Firearm","220","3063690","7.18","7.14619064802937"
"Both Sexes","All Races","Kansas","Both","All Ages","2011","2011","Firearm","329","2868756","11.47","11.3620844160641"
"Both Sexes","All Races","Kentucky","Both","All Ages","2011","2011","Firearm","617","4368505","14.12","13.8337008585209"
"Both Sexes","All Races","Louisiana","Both","All Ages","2011","2011","Firearm","865","4574388","18.91","18.7650507606965"
"Both Sexes","All Races","Maine","Both","All Ages","2011","2011","Firearm","136","1327968","10.24","9.50439607309063"
"Both Sexes","All Races","Maryland","Both","All Ages","2011","2011","Firearm","542","5843115","9.28","9.20448986090847"
"Both Sexes","All Races","Massachusetts","Both","All Ages","2011","2011","Firearm","254","6612178","3.84","3.69620153008168"
"Both Sexes","All Races","Michigan","Both","All Ages","2011","2011","Firearm","1156","9876199","11.7","11.7956945595838"
"Both Sexes","All Races","Minnesota","Both","All Ages","2011","2011","Firearm","396","5345967","7.41","7.1944590213753"
"Both Sexes","All Races","Mississippi","Both","All Ages","2011","2011","Firearm","530","2977452","17.8","17.9085492148281"
"Both Sexes","All Races","Missouri","Both","All Ages","2011","2011","Firearm","854","6010280","14.21","13.9904085026128"
"Both Sexes","All Races","Montana","Both","All Ages","2011","2011","Firearm","167","996866","16.75","16.3488221037841"
"Both Sexes","All Races","Nebraska","Both","All Ages","2011","2011","Firearm","161","1841641","8.74","8.89162636445453"
"Both Sexes","All Races","Nevada","Both","All Ages","2011","2011","Firearm","376","2718170","13.83","13.633013617373"
"Both Sexes","All Races","New Hampshire","Both","All Ages","2011","2011","Firearm","92","1318345","6.98","6.36898801190489"
"Both Sexes","All Races","New Jersey","Both","All Ages","2011","2011","Firearm","482","8844694","5.45","5.50771728620174"
"Both Sexes","All Races","New Mexico","Both","All Ages","2011","2011","Firearm","306","2077744","14.73","14.8440910687345"
"Both Sexes","All Races","New York","Both","All Ages","2011","2011","Firearm","997","19526372","5.11","4.91326702504195"
"Both Sexes","All Races","North Carolina","Both","All Ages","2011","2011","Firearm","1154","9662940","11.94","11.7238040395607"
"Both Sexes","All Races","North Dakota","Both","All Ages","2011","2011","Firearm","61","684830","8.91","8.87384516132933"
"Both Sexes","All Races","Ohio","Both","All Ages","2011","2011","Firearm","1227","11543332","10.63","10.5112788819038"
"Both Sexes","All Races","Oklahoma","Both","All Ages","2011","2011","Firearm","628","3785232","16.59","16.55569164515"
"Both Sexes","All Races","Oregon","Both","All Ages","2011","2011","Firearm","420","3865845","10.86","10.4199485575506"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","2011","2011","Firearm","1438","12742811","11.28","11.0005579088722"
"Both Sexes","All Races","Rhode Island","Both","All Ages","2011","2011","Firearm","33","1052154","3.14","3.01089650549761"
"Both Sexes","All Races","South Carolina","Both","All Ages","2011","2011","Firearm","705","4672744","15.09","14.7940907136528"
"Both Sexes","All Races","South Dakota","Both","All Ages","2011","2011","Firearm","71","823338","8.62","8.40118316512767"
"Both Sexes","All Races","Tennessee","Both","All Ages","2011","2011","Firearm","948","6396281","14.82","14.4020109078027"
"Both Sexes","All Races","Texas","Both","All Ages","2011","2011","Firearm","2599","25644424","10.13","10.2664614679703"
"Both Sexes","All Races","Utah","Both","All Ages","2011","2011","Firearm","308","2815430","10.94","12.0830205835015"
"Both Sexes","All Races","Vermont","Both","All Ages","2011","2011","Firearm","78","626210","12.46","11.6784524517266"
"Both Sexes","All Races","Virginia","Both","All Ages","2011","2011","Firearm","868","8107548","10.71","10.3829914317204"
"Both Sexes","All Races","Washington","Both","All Ages","2011","2011","Firearm","624","6819155","9.15","8.84704457742559"
"Both Sexes","All Races","West Virginia","Both","All Ages","2011","2011","Firearm","278","1854891","14.99","14.4409640088758"
"Both Sexes","All Races","Wisconsin","Both","All Ages","2011","2011","Firearm","445","5705812","7.8","7.71208140671883"
"Both Sexes","All Races","Wyoming","Both","All Ages","2011","2011","Firearm","96","567602","16.91","16.745614065202"
"Both Sexes","All Races","","Both","All Ages","2011","2011","Firearm","32351","311644280","10.38","."
